Instruction:,,,,,,,,,,,,,,*END*
1. Please do not delete any Rows or columns. You can upload the partially filled data.,,,,,,,,,,,,,,*END*
     The system will validate and if there are any errors the system will promot and will automatically update the records without error.,,,,,,,,,,,,,,*END*
2. When the downloaded file is re-uploaded existing values will be replaced with the new values.,,,,,,,,,,,,,,*END*
3. Attendance status should be one of the following values (P/A/L/O/H/E),,,,,,,,,,,,,,*END*
     P - Present,,,,,,,,,,,,,,*END*
     A - Absent,,,,,,,,,,,,,,*END*
     L - Long Term MC,,,,,,,,,,,,,,*END*
     O - Short Term MC,,,,,,,,,,,,,,*END*
     E - Special Case,,,,,,,,,,,,,,*END*
     H - Pending appointment Student Health Services,,,,,,,,,,,,,,*END*
4. Please save your updated file in CSV(Comma delimited) format only.,,,,,,,,,,,,,,*END*
5.  The value of Sit Up reps should be numeric and it can be up to 2 digits. ,,,,,,,,,,,,,,*END*
6.  The value of Broad Jump should be numeric and it can be up to 3 digits. ,,,,,,,,,,,,,,*END*
7.  The value of Sit& Reach should be numeric and it can be up to 2 digits. ,,,,,,,,,,,,,,*END*
8.  The value of IPU/Push-up reps should be numeric and it can be up to 2 digits. (Applicable for PRE-U) ,,,,,,,,,,,,,,*END*
9.  The value of IPU/Pull-up reps should be numeric and it can be up to 2 digits. ,,,,,,,,,,,,,,*END*
10. The value of Shuttle Run time should be numeric and it has to be either 2 or 3 digits with 1 decimal place allowed,,,,,,,,,,,,,,*END*
11. The value of 1.6/2.4 km Run should be numeric and it has to be either 3 or 4 digits e.g. 10 Minutes and 45 seconds will be entered as 1045,,,,,,,,,,,,,,*END*
     another example 9 minute 45 seconds will be entered as 945 ,,,,,,,,,,,,,,*END*
No,Name,ID,Class,Gender,DOB,Attendance Status,Sit Up reps xx,Broad Jump cm xxx,Sit& Reach cm xx,IPU/Pull-up reps xx,Shuttle Run sec xx.x,1.6/2.4 Km Run MMSS,PFT Test Date(DD/MM/YYYY),*END*
1,d1,14101010,P4-D,F,30/4/2015,P,29,131,32,22,11.7,1058,9/4/2025,*END*
2,d2,14101011,P4-D,F,12/1/2015,P,27,151,38,15,12.1,1116,9/4/2025,*END*
3,d3,14101012,P4-D,F,26/1/2015,P,28,141,31,12,11.4,838,9/4/2025,*END*
4,d4,14101013,P4-D,F,10/7/2015,P,20,142,28,10,11.7,818,9/4/2025,*END*
5,d5,14101014,P4-D,F,7/12/2015,P,30,152,33,16,11.4,821,9/4/2025,*END*
6,d6,14101015,P4-D,F,22/10/2015,P,27,133,33,10,11.9,831,9/4/2025,*END*
7,d7,14101016,P4-D,F,28/12/2015,P,14,121,29,10,12.9,1222,9/4/2025,*END*
